Tweets,id,len,date,source,likes,retweets
"विकास और पर्यावरण में संतुलन हमारी पुरातन परंपरा का एक अहम हिस्सा है, जिसे हम आत्मनिर्भर भारत की भी ताकत बना रहे… https://t.co/OejwgZQvnQ",1401099385824440322,137,2021-06-05 08:51:39,Twitter Media Studio,20210,3976
"जलवायु परिवर्तन के खतरे से निपटने के लिए जो वैश्विक प्रयास चल रहे हैं, उनमें भारत एक नई रोशनी बनकर उभरा है।

जिस भा… https://t.co/mPOVkIBJgE",1401099327217356801,140,2021-06-05 08:51:25,Twitter Media Studio,13022,2937
आज से 7-8 साल पहले देश में इथेनॉल की कभी उतनी चर्चा नहीं होती थी। लेकिन अब इथेनॉल 21वीं सदी के भारत की बड़ी प्राथमि… https://t.co/4DlSo7siaT,1401099232501661700,140,2021-06-05 08:51:02,Twitter Media Studio,12459,2921
"हरदोई के अरविंद कुमार जी ने बताया कि वैज्ञानिक विधि से खेती करने से न केवल गन्ने का उत्पादन तीन गुना बढ़ा है, बल्कि… https://t.co/m29p5Nj3sy",1401098876422025220,140,2021-06-05 08:49:37,Twitter Media Studio,12585,2870
आणंद के अमित कुमार प्रजापति जी को बायोगैस प्लांट से कई प्रकार के लाभ हुए हैं। स्वच्छता भी और कमाई भी…… https://t.co/8ixRJzxmnp,1401098804250615809,126,2021-06-05 08:49:20,Twitter Media Studio,9504,2550
पुणे के बालू नाथू वाघमारे जी ने बताया कि किस प्रकार जैविक खाद में किसानों की दिलचस्पी काफी बढ़ गई है। इतना ही नहीं… https://t.co/fa2di1r6L0,1401098674407542784,139,2021-06-05 08:48:49,Twitter Media Studio,13997,2918
"Addressing a programme on #WorldEnvironmentDay. 

#IndiasGreenFuture https://t.co/4S0pEuKcVx",1401053150841167874,92,2021-06-05 05:47:56,Twitter Media Studio,21750,4659
Reviewed India's vaccination drive including the steps being taken to assist vaccine manufacturers and the need to… https://t.co/1Y7cX4sqoN,1400839416013275137,139,2021-06-04 15:38:37,Twitter for iPhone,35726,5386
"At 11 AM tomorrow, 5th June will take part in the World Environment Programme on the theme of ‘promotion of biofuel… https://t.co/O0TqjYIRtB",1400823203203719169,140,2021-06-04 14:34:12,Twitter Web App,40367,6046
I called @MauritiusPM Pravind Jugnauth to convey heartfelt condolences on the sad demise of Sir Anerood Jugnauth. H… https://t.co/9gH4BT9cdi,1400799942436872196,140,2021-06-04 13:01:46,Twitter for iPhone,27248,3721
Addressing the CSIR society meeting. https://t.co/mjk9YyDYrP,1400700652792152064,60,2021-06-04 06:27:14,Twitter Media Studio,21868,4522
"Padma Vibhushan Sir Anerood Jugnauth, a tall leader &amp; statesman, was the architect of modern Mauritius. A proud Pra… https://t.co/AsoR2kPXdC",1400514980655599618,144,2021-06-03 18:09:26,Twitter for iPhone,39019,4908
"We also discussed ongoing efforts to further strengthen India-US vaccine cooperation, and the potential of our part… https://t.co/YuGrDugNHR",1400482640621301766,140,2021-06-03 16:00:55,Twitter for iPhone,29031,4116
Spoke to @VP Kamala Harris a short while ago. I deeply appreciate the assurance of vaccine supplies to India as par… https://t.co/r3kiqDseTG,1400482638876405764,140,2021-06-03 16:00:55,Twitter for iPhone,69458,9592
"Earlier today, reviewed India’s Olympic preparations for the upcoming Tokyo games. Discussed the steps taken for su… https://t.co/Bs3mEURGuV",1400417670294552576,140,2021-06-03 11:42:45,Twitter Web App,32711,4943
"The decision on Class XII exams was taken after an extensive consultive process.

We got several inputs from all ov… https://t.co/y2xrFIq7uJ",1400139733666205704,140,2021-06-02 17:18:20,Twitter for iPhone,34007,5346
"It has been a chaotic year for students. The joys of growing up partly snatched away, confined to their homes, less… https://t.co/OLVnhh1G47",1400139590556479489,140,2021-06-02 17:17:46,Twitter for iPhone,18730,3272
The teaching community has played an outstanding role in the last year. I would like to applaud all the teachers fo… https://t.co/0bDZPpNhEC,1400139288012943361,140,2021-06-02 17:16:34,Twitter for iPhone,18613,3182
Health and welfare of students is our topmost priority! https://t.co/q7QsipiDF5,1400139132580466689,79,2021-06-02 17:15:57,Twitter for iPhone,37562,5097
Best wishes to the people of Telangana on the state’s Formation Day. The state is blessed with a unique culture and… https://t.co/WlOGHhh6iD,1399930257029828609,140,2021-06-02 03:25:57,Twitter for iPhone,78156,8709
