Tweets,id,len,date,source,likes,retweets
Alrighty folks. Hugs....and brb. https://t.co/TNMtm0AcRI,1399360368254750723,56,2021-05-31 13:41:25,Twitter Web App,3580,41
@dharmachandru Home.,1399337562817265668,20,2021-05-31 12:10:48,Twitter Web App,9,0
"As evenings go, this is up there. https://t.co/TKVByhZaWZ",1399336971223244801,57,2021-05-31 12:08:27,Twitter Web App,898,15
RT @FilmCompanion: .@TheVirDas talks about how he often has to keep himself grounded and open himself to new experiences to connect better…,1399310865682235392,139,2021-05-31 10:24:42,Twitter Web App,0,8
Thankyou Sophie 🤗🤗 and yes..fingers super tightly crossed 🤞 https://t.co/h7KEsDtZAg,1399276987613519875,83,2021-05-31 08:10:05,Twitter Web App,272,4
Thanks Mush. See you soon. And learn to drive a bike by then please 😋 https://t.co/dVrcDLtDh0,1399269213106163716,93,2021-05-31 07:39:12,Twitter Web App,345,3
"As Birthdays go. This was a pretty good start. My lady got me out of bed, picked up a bunch of dog biscuits, and hi… https://t.co/ldsBcEjqGT",1399256159316418560,140,2021-05-31 06:47:19,Twitter Web App,2077,18
Thankyou 🤗 Keep doing you. You're helping so many of us. https://t.co/UGH0YzddIT,1399246903015997442,80,2021-05-31 06:10:33,Twitter Web App,154,4
Thank you. I will see you in NYC this Nov 🤞 https://t.co/i4zRMvfDky,1399242616399560704,67,2021-05-31 05:53:31,Twitter Web App,193,5
"Thanks Manjot 🤗 Stay safe, stay funny! https://t.co/VGNDyChMrr",1399238159137796096,62,2021-05-31 05:35:48,Twitter Web App,164,0
Aww. Thanks guys 🤗 https://t.co/Y6UUff3HFU,1399214946416615427,42,2021-05-31 04:03:34,Twitter Web App,828,10
Stay tuned. Dates booked 😉 https://t.co/ONLRi8VUjx,1398992408134787079,50,2021-05-30 13:19:16,Twitter Web App,175,1
Anyone else working out super hard JUST so they can drink and eat chocolate? My fitness goal is to cheat.,1398979546691473412,105,2021-05-30 12:28:10,Twitter Web App,6143,250
"Dream. When India is safe again. Do an India national tour on motorcycles. Hit a city, do a gig, bike to the next o… https://t.co/TDZNxNgqDv",1398927321319366657,140,2021-05-30 09:00:38,Twitter Web App,5375,144
@Karan13897674 @RamblingRocket Maybe dada-daadi took meds?,1398882284321665026,58,2021-05-30 06:01:41,Twitter Web App,108,0
This might already be my favourite peak twitter thread for the day. https://t.co/ETzYm2Ulmb,1398867488885018628,91,2021-05-30 05:02:53,Twitter Web App,11156,726
@Karan13897674 @Menon3 Well...they're not here. That's a start.,1398866814646382592,63,2021-05-30 05:00:12,Twitter Web App,24,0
Also...as someone doing yoga...the above poses....legit good for your glutes. Fyi. 😁,1398865673611317249,84,2021-05-30 04:55:40,Twitter Web App,1606,51
"I've seen Baba Ramdev do Salabhasana, Purvottanasana, Anjaneyasana, Virabhadrasana 2, Trikonasana and Ardha Chandra… https://t.co/rHbhKJ8U95",1398863612836413441,140,2021-05-30 04:47:29,Twitter Web App,6629,915
Why is Samosa trending and why am I ordering one just because I saw a trend? This is unacceptable.,1398623528220463108,98,2021-05-29 12:53:28,Twitter Web App,3660,80
